Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
FR1069_R1	FR1069_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17308299.0	2.5 Gbp	0.0	150.0	48.0	79.06113303863643	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
FR1069_R2	FR1069_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17308299.0	2.5 Gbp	0.0	150.0	48.0	81.42751082581006	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
G17_R1	G17_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19587588.0	1.9 Gbp	0.0	35-100	52.0	93.96749703974592	99.24980502959323	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass
G17_R2	G17_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19587588.0	1.9 Gbp	0.0	35-100	52.0	94.63745425272026	97.6504747802537	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn
GN0001_R1	GN0001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12269860.0	1.8 Gbp	0.0	150.0	49.0	82.28961620601203	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
GN0001_R2	GN0001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12269860.0	1.8 Gbp	0.0	150.0	49.0	83.98113539914468	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
GY0040_R1	GY0040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10306131.0	1.5 Gbp	0.0	150.0	50.0	78.4449498668444	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
GY0040_R2	GY0040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10306131.0	1.5 Gbp	0.0	150.0	50.0	80.61947891065503	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
IN0017_R1	IN0017_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6632096.0	1 Gbp	0.0	151.0	49.0	79.10090793709014	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
IN0017_R2	IN0017_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6632096.0	1 Gbp	0.0	151.0	49.0	82.24552280508992	151.0	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass	pass
IN0054_R1	IN0054_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12337576.0	1.8 Gbp	0.0	151.0	50.0	76.61713483543946	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
IN0054_R2	IN0054_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12337576.0	1.8 Gbp	0.0	151.0	50.0	79.31907920578925	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
IN0059_R1	IN0059_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5550111.0	838 Mbp	0.0	151.0	49.0	80.41443254652421	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
IN0059_R2	IN0059_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5550111.0	838 Mbp	0.0	151.0	49.0	82.80151369109096	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
IN0114_R1	IN0114_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11810162.0	1.7 Gbp	0.0	151.0	50.0	77.16599712644668	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
IN0114_R2	IN0114_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11810162.0	1.7 Gbp	0.0	151.0	50.0	79.58874725260064	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
IN0115_R1	IN0115_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13173876.0	1.9 Gbp	0.0	151.0	50.0	75.83158152251902	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
IN0115_R2	IN0115_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13173876.0	1.9 Gbp	0.0	151.0	50.0	79.04835022432576	151.0	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass	warn
IN0116_R2	IN0116_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13320426.0	2 Gbp	0.0	151.0	50.0	78.01881822095712	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
IR00102_R1	IR00102_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16956380.0	2.5 Gbp	0.0	150.0	49.0	78.39186489867633	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
IR00102_R2	IR00102_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16956380.0	2.5 Gbp	0.0	150.0	49.0	80.64430872350229	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
IR0013_R1	IR0013_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15097517.0	2.2 Gbp	0.0	150.0	48.0	79.06129961033928	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
IR0013_R2	IR0013_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15097517.0	2.2 Gbp	0.0	150.0	48.0	82.17051160405975	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
IR0015_R1	IR0015_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13992874.0	2 Gbp	0.0	150.0	49.0	79.12310357880338	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
IR0015_R2	IR0015_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13992874.0	2 Gbp	0.0	150.0	49.0	81.77213919331255	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
IR0083_R1	IR0083_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11442190.0	1.7 Gbp	0.0	150.0	49.0	82.31081403304192	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
IR0083_R2	IR0083_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11442190.0	1.7 Gbp	0.0	150.0	49.0	84.3520630119959	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
IR0084_R1	IR0084_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17479082.0	2.6 Gbp	0.0	150.0	48.0	78.19520397542405	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
IR0084_R2	IR0084_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17479082.0	2.6 Gbp	0.0	150.0	48.0	80.05793711897296	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
IR0088_R1	IR0088_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17848961.0	2.6 Gbp	0.0	150.0	48.0	72.52421721649014	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
IR0088_R2	IR0088_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17848961.0	2.6 Gbp	0.0	150.0	48.0	75.54914338909423	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
IR0095_R1	IR0095_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15763533.0	2.3 Gbp	0.0	150.0	48.0	77.17880725185174	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
IR0095_R2	IR0095_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15763533.0	2.3 Gbp	0.0	150.0	48.0	79.52895701481378	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
IT0010_R1	IT0010_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16778871.0	2.5 Gbp	0.0	150.0	50.0	75.18880538319652	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
IT0010_R2	IT0010_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16778871.0	2.5 Gbp	0.0	150.0	50.0	78.4381663086571	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn
JP0091_R1	JP0091_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14264726.0	2.1 Gbp	0.0	150.0	50.0	79.72012454727998	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
JP0091_R2	JP0091_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14264726.0	2.1 Gbp	0.0	150.0	50.0	81.96105113571332	150.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
ML0060_R1	ML0060_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13678921.0	2 Gbp	0.0	150.0	50.0	79.63553372294902	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
ML0060_R2	ML0060_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13678921.0	2 Gbp	0.0	150.0	51.0	81.40042459579446	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
ML0062_R1	ML0062_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8976477.0	1.3 Gbp	0.0	151.0	50.0	77.86732929091335	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
ML0062_R2	ML0062_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8976477.0	1.3 Gbp	0.0	151.0	50.0	80.43651773745808	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn
NG0012_R1	NG0012_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7106748.0	1 Gbp	0.0	151.0	50.0	79.89279804286534	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
NG0012_R2	NG0012_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7106748.0	1 Gbp	0.0	151.0	50.0	82.22893974951656	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
NG0054_R1	NG0054_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9342286.0	1.4 Gbp	0.0	151.0	50.0	79.24323289542514	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
NG0054_R2	NG0054_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9342286.0	1.4 Gbp	0.0	151.0	50.0	82.08195793528483	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
NP0058_R1	NP0058_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12773549.0	1.9 Gbp	0.0	151.0	50.0	80.13086136685955	151.0	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass	warn
NP0058_R2	NP0058_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12773549.0	1.9 Gbp	0.0	151.0	50.0	76.4101681481368	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
P28_R1	P28_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8979346.0	2.6 Gbp	0.0	300.0	50.0	88.42419673112977	300.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
P28_R2	P28_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8979346.0	2.6 Gbp	0.0	300.0	51.0	89.52511351507036	300.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass	pass
P29_R1	P29_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9335380.0	2.8 Gbp	0.0	300.0	50.0	87.71774306780758	300.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
P29_R2	P29_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9335380.0	2.8 Gbp	0.0	300.0	51.0	88.85310231630756	300.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass	pass
P3_R1	P3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16130764.0	4.8 Gbp	0.0	300.0	50.0	84.77269660543018	300.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail	pass
P3_R2	P3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16130764.0	4.8 Gbp	0.0	300.0	50.0	87.63853641761243	300.0	pass	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass
PGPA_R1	PGPA_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20869674.0	2 Gbp	0.0	35-100	50.0	90.39097225032732	99.2305506065883	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass
PGPA_R2	PGPA_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20869674.0	2 Gbp	0.0	35-100	50.0	91.21143793376021	97.98428437358437	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
PgKY_R1	PgKY_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16131861.0	1.6 Gbp	0.0	35-100	51.0	88.03645358668543	99.2206833421141	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass
PgKY_R2	PgKY_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16131861.0	1.5 Gbp	0.0	35-100	52.0	88.99327472815517	98.25176438105932	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
Py0925_R1	Py0925_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26276344.0	2.5 Gbp	0.0	15-99	48.0	91.7390219409031	95.98985498134748	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
Py0925_R2	Py0925_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26276344.0	2.5 Gbp	0.0	15-100	48.0	91.87002277813399	96.36464532508785	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	warn
Py36-1_R1	Py36-1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29120108.0	2.8 Gbp	0.0	15-99	49.0	90.85988430635994	96.61363453734444	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
Py36-1_R2	Py36-1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29120108.0	2.7 Gbp	0.0	15-98	48.0	91.56178194182594	94.34180566912733	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
Py5033_R2	Py5033_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21503857.0	2 Gbp	0.0	15-100	48.0	91.83812766817519	96.47333201667031	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	warn
Py510_R1	Py510_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15714841.0	1.5 Gbp	0.0	15-99	49.0	93.89275944590163	95.97062509254786	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
Py510_R2	Py510_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15714841.0	1.5 Gbp	0.0	15-100	49.0	93.78369925869035	96.56655450729664	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	warn
Py6017_R1	Py6017_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17611456.0	1.7 Gbp	0.0	15-99	48.0	94.05024532318113	96.0123366290669	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
Py6017_R2	Py6017_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17611456.0	1.6 Gbp	0.0	15-100	48.0	94.25916436159196	96.30154905988466	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	warn
